benchmark,run,result
quadratic,baseline,785
quadratic,tdce,783
quadratic,lvn,731
primes-between,baseline,574100
primes-between,tdce,574100
primes-between,lvn,574100
orders,baseline,5352
orders,tdce,5352
orders,lvn,5352
palindrome,baseline,298
palindrome,tdce,298
palindrome,lvn,298
totient,baseline,253
totient,tdce,253
totient,lvn,253
relative-primes,baseline,1923
relative-primes,tdce,1914
relative-primes,lvn,1869
hanoi,baseline,99
hanoi,tdce,99
hanoi,lvn,99
check-primes,baseline,8468
check-primes,tdce,8419
check-primes,lvn,7721
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,3036
sum-sq-diff,lvn,2734
fact,baseline,229
fact,tdce,228
fact,lvn,208
loopfact,baseline,116
loopfact,tdce,115
loopfact,lvn,107
recfact,baseline,104
recfact,tdce,103
recfact,lvn,96
factors,baseline,72
factors,tdce,72
factors,lvn,72
perfect,baseline,232
perfect,tdce,232
perfect,lvn,232
bitshift,baseline,167
bitshift,tdce,167
bitshift,lvn,147
digital-root,baseline,247
digital-root,tdce,247
digital-root,lvn,247
up-arrow,baseline,252
up-arrow,tdce,252
up-arrow,lvn,252
sum-divisors,baseline,159
sum-divisors,tdce,159
sum-divisors,lvn,159
ackermann,baseline,1464231
ackermann,tdce,1464231
ackermann,lvn,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,61518
pythagorean_triple,lvn,61518
dot-product,baseline,88
dot-product,tdce,88
dot-product,lvn,88
euclid,baseline,563
euclid,tdce,562
euclid,lvn,502
binary-fmt,baseline,100
binary-fmt,tdce,100
binary-fmt,lvn,100
gcd,baseline,46
gcd,tdce,46
gcd,lvn,46
catalan,baseline,659378
catalan,tdce,659378
catalan,lvn,659378
armstrong,baseline,133
armstrong,tdce,130
armstrong,lvn,130
pascals-row,baseline,146
pascals-row,tdce,139
pascals-row,lvn,124
collatz,baseline,169
collatz,tdce,169
collatz,lvn,169
sum-bits,baseline,73
sum-bits,tdce,73
sum-bits,lvn,73
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,14
rectangles-area-difference,lvn,14
mod_inv,baseline,558
mod_inv,tdce,556
mod_inv,lvn,471
reverse,baseline,46
reverse,tdce,46
reverse,lvn,46
fizz-buzz,baseline,3652
fizz-buzz,tdce,3552
fizz-buzz,lvn,3052
bitwise-ops,baseline,1690
bitwise-ops,tdce,1689
bitwise-ops,lvn,1689
